position,distribution,hit_ranking
1,Manjaro,3807
2,Mint,2677
3,Ubuntu,1636
4,elementary,1462
5,Debian,1347
6,MX Linux,1219
7,Solus,1053
8,Fedora,901
9,openSUSE,789
10,Antergos,678
11,TrueOS,634
12,Zorin,589
13,CentOS,588
14,Arch,580
15,Kali,534
16,Lite,511
17,antiX,508
18,ReactOS,504
19,KDE neon,452
20,Endless,430
21,PCLinuxOS,427
22,Lubuntu,396
23,Peppermint,394
24,Puppy,373
25,Ubuntu MATE,352
26,SmartOS,347
27,deepin,331
28,Slackware,313
29,SparkyLinux,305
30,ArchLabs,299
31,Devuan,297
32,Xubuntu,297
33,FreeBSD,295
34,Tails,294
35,Mageia,276
36,Bluestar,266
37,Q4OS,261
38,Bodhi,252
39,Archman,249
40,Android-x86,246
41,Redcore,243
42,Parrot,239
43,LXLE,238
44,Kubuntu,237
45,Red Hat,231
46,Gentoo,227
47,KaOS,221
48,Arco,216
49,Voyager,210
50,Sabayon,201
51,Netrunner,200
52,Pop!_OS,199
53,Qubes,198
54,feren,198
55,KNOPPIX,197
56,Ubuntu Budgie,193
57,Robolinux,187
58,4MLinux,180
59,NixOS,179
60,Slax,178
61,SwagArch,178
62,Porteus,175
63,Pinguy,174
64,Trisquel,174
65,DragonFly,173
66,Alpine,172
67,Gecko,172
68,Ubuntu Studio,167
69,ArchBang,166
70,ClearOS,166
71,Ultimate,163
72,Emmabuntüs,162
73,siduction,161
74,Nitrux,158
75,Scientific,157
76,BunsenLabs,156
77,BlackArch,150
78,Calculate,148
79,OpenBSD,146
80,wattOS,146
81,Absolute,142
82,Raspbian,140
83,Clonezilla,139
84,Ubuntu Kylin,139
85,Container,138
86,ROSA,137
87,Tiny Core,135
88,Neptune,134
89,SolydXK,133
90,AV Linux,132
91,AUSTRUMI,130
92,SteamOS,128
93,LibreELEC,125
94,Parabola,125
95,Oracle,124
96,Ubuntu DP,124
97,Vector,124
98,BackBox,123
99,GhostBSD,122
100,NuTyX,122
101,Artix,114
102,Greenie,111
103,Black Lab,110
104,Maui,105
105,NetBSD,103
106,ExTiX,102
107,Live Raizo,100
108,Void,96
109,Lakka,91
110,heads,91
111,Chakra,90
112,PureOS,90
113,Arya,89
114,CRUX,88
115,Elive,87
116,OpenMandriva,87
117,OSMC,85
118,Enso,83
119,Omarine,83
120,Zenwalk,80
121,GParted,78
122,ALT,76
123,Zevenet,76
124,Pardus,75
125,Quirky,75
126,SliTaz,75
127,UBOS,74
128,Linuxfx,72
129,SUSE,72
130,BlankOn,71
131,DietPi,70
132,GuixSD,69
133,MiniNo,69
134,Berry,66
135,OpenIndiana,66
136,OPNsense,65
137,SystemRescue,65
138,NethServer,63
139,Proxmox,63
140,FreeNAS,62
141,NAS4Free,62
142,Runtu,62
143,Shark,62
144,LFS,61
145,Peach OSI,61
146,IPFire,58
147,Plop,58
148,Univention,58
149,TENS,57
150,Zentyal,57
151,pfSense,57
152,Untangle,55
153,Salix,54
154,Haiku,53
155,MakuluLinux,53
156,OpenMediaVault,53
157,Star,53
158,Porteus Kiosk,52
159,Kwort,51
160,Zeroshell,51
161,KolibriOS,50
162,Pardus Topluluk,50
163,Smoothwall,50
164,ArchStrike,49
165,Endian,49
166,HardenedBSD,49
167,TurnKey,48
168,3CX,47
169,DuZeru,46
170,Legacy,46
171,RancherOS,46
172,Funtoo,45
173,Plamo,45
174,Stella,44
175,ToriOS,44
176,Wifislax,44
177,Parted Magic,43
178,Pearl,43
179,Pisi,43
180,UBports,43
181,Audiophile,42
182,Clear,41
183,LinuxConsole,41
184,Subgraph,41
185,VyOS,41
186,BigLinux,40
187,Karoshi,40
188,Kodachi,40
189,Linspire,40
190,MINIX,40
191,Whonix,40
192,NST,39
193,RSS,39
194,SalentOS,39
195,APODIO,38
196,CAINE,38
197,KXStudio,38
198,Lunar,38
199,Refracta,38
200,blackPanther,38
201,ClonOS,37
202,Freespire,37
203,BeeFree,36
204,Fatdog64,36
205,MidnightBSD,36
206,OpenELEC,36
207,RDS,36
208,XStreamOS,36
209,Connochaet,35
210,Toutou,35
211,DEFT,34
212,Dragora,34
213,EasyNAS,34
214,Frugalware,34
215,MirOS,34
216,PrimTux,34
217,Bicom,33
218,CloudReady,33
219,Daphile,33
220,Debian Edu,33
221,KANOTIX,33
222,Leeenux,33
223,Minimal,33
224,Pentoo,33
225,Bio-Linux,32
226,CAELinux,32
227,Exherbo,32
228,Metamorphose,32
229,MorpheusArch,32
230,OviOS,32
231,Rockstor,32
232,Solaris,32
233,Exe,31
234,GoboLinux,31
235,LuninuX,31
236,Slackel,31
237,Sophos,31
238,Vine,31
239,Asianux,30
240,RISC,30
241,Super Grub2,30
242,Cucumber,29
243,RebeccaBlackOS,29
244,AsteriskNOW,28
245,BSDRP,28
246,BlueOnyx,28
247,Elastix,28
248,Source Mage,28
249,T2,28
250,Liquid Lemur,27
251,Photon,27
252,Rebellin,27
253,Rescatux,27
254,Thinstation,27
255,UTUTO,27
256,Uruk,27
257,FuguIta,26
258,LliureX,26
259,RaspBSD,26
260,Rocks Cluster,26
261,Springdale,26
262,Vinux,26
263,WM Live,26
264,paldo,26
265,Canaima,25
266,GNUstep,25
267,LinHES,25
268,MAX,25
269,RasPlex,25
270,Securepoint,25
271,TalkingArch,25
272,AIO,24
273,NexentaStor,24
274,PLD,24
275,SME Server,24
276,Swift,24
277,UHU-Linux,24
278,Baruwa,23
279,BitKey,23
280,FreePBX,23
281,Grml,23
282,Openwall,23
283,SELKS,23
284,SMS,23
285,ToOpPy,23
286,Ulteo,23
287,Volumio,23
288,OLPC,22
289,PelicanHPC,22
290,SuliX,22
291,Webconverger,22
292,tuxtrans,22
293,DRBL,21
294,Namib,21
295,OB2D,21
296,OSGeo,21
297,Omoikane,21
298,SuperGamer,21
299,Obarun,20
300,VenenuX,20
301,Hyperbola,13
302,Secure-K,9
303,NomadBSD,0
