position,distribution,hit_ranking
1,Manjaro,2841
2,Mint,2668
3,Ubuntu,1588
4,Debian,1508
5,elementary,1189
6,Solus,1122
7,Antergos,962
8,Fedora,912
9,MX Linux,878
10,openSUSE,825
11,TrueOS,752
12,Zorin,634
13,CentOS,595
14,Arch,578
15,Kali,540
16,antiX,530
17,ReactOS,508
18,Lite,487
19,PCLinuxOS,466
20,deepin,435
21,Lubuntu,415
22,KDE neon,412
23,Puppy,398
24,Ubuntu MATE,353
25,Peppermint,346
26,SmartOS,343
27,FreeBSD,323
28,Mageia,318
29,SparkyLinux,309
30,Slackware,307
31,Tails,301
32,Endless,298
33,Xubuntu,295
34,Devuan,286
35,LXLE,273
36,Parrot,273
37,feren,269
38,ArchLabs,268
39,Q4OS,263
40,Android-x86,260
41,Bodhi,253
42,Bluestar,241
43,Kubuntu,239
44,Gentoo,237
45,Ubuntu Budgie,229
46,Redcore,219
47,Red Hat,217
48,KNOPPIX,214
49,Sabayon,213
50,ArchBang,205
51,KaOS,203
52,Qubes,203
53,4MLinux,202
54,Gecko,193
55,DragonFly,185
56,Voyager,184
57,Tiny Core,182
58,Netrunner,180
59,Ultimate,179
60,Black Lab,178
61,BlackArch,173
62,NixOS,170
63,ROSA,170
64,Alpine,169
65,ClearOS,169
66,GhostBSD,169
67,Slax,168
68,Ubuntu Studio,166
69,Lakka,163
70,LibreELEC,156
71,Robolinux,156
72,Trisquel,151
73,wattOS,151
74,NuTyX,150
75,Clonezilla,147
76,Emmabuntüs,146
77,Absolute,145
78,OpenBSD,145
79,siduction,145
80,Porteus,143
81,Calculate,142
82,Scientific,142
83,Raspbian,140
84,AUSTRUMI,139
85,Nitrux,137
86,SwagArch,135
87,BackBox,133
88,Parabola,133
89,SolydXK,133
90,Archman,132
91,SteamOS,132
92,Container,128
93,Vector,128
94,Oracle,127
95,Pop!_OS,125
96,Chakra,124
97,Ubuntu DP,124
98,ExTiX,122
99,Elive,121
100,BunsenLabs,115
101,Ubuntu Kylin,115
102,Maui,113
103,OpenMandriva,109
104,Arco,108
105,Pinguy,108
106,Artix,107
107,Void,100
108,Zenwalk,100
109,AV Linux,94
110,Shark,92
111,OSMC,88
112,ALT,86
113,Neptune,85
114,PureOS,85
115,Arya,81
116,NetBSD,81
117,Salix,81
118,RancherOS,79
119,SUSE,79
120,GParted,78
121,FreeNAS,77
122,Live Raizo,75
123,pfSense,75
124,OpenIndiana,74
125,Fatdog64,73
126,NAS4Free,73
127,OPNsense,73
128,IPFire,72
129,SliTaz,72
130,Pardus,71
131,SystemRescue,70
132,VyOS,69
133,Greenie,68
134,Parted Magic,67
135,CRUX,65
136,MiniNo,65
137,Uruk,65
138,Quirky,64
139,Runtu,64
140,UBOS,64
141,NethServer,63
142,Berry,61
143,Peach OSI,60
144,MakuluLinux,59
145,OpenMediaVault,59
146,heads,59
147,SalentOS,58
148,Subgraph,58
149,CAINE,57
150,LFS,56
151,Univention,56
152,BlankOn,55
153,Porteus Kiosk,55
154,Star,55
155,Legacy,54
156,KolibriOS,53
157,Untangle,53
158,Freespire,52
159,Proxmox,52
160,3CX,51
161,ArchStrike,51
162,GuixSD,51
163,Zevenet,51
164,Linuxfx,50
165,Endian,49
166,Haiku,49
167,LinuxConsole,49
168,Wifislax,49
169,OviOS,48
170,Zeroshell,48
171,Funtoo,47
172,TENS,47
173,DuZeru,46
174,LuninuX,46
175,RSS,46
176,Audiophile,45
177,Pardus Topluluk,45
178,ToriOS,44
179,Zentyal,44
180,Karoshi,43
181,Kodachi,43
182,MINIX,43
183,Pearl,43
184,Plop,43
185,Whonix,43
186,Exe,42
187,RDS,42
188,Rockstor,42
189,Clear,41
190,Enso,41
191,HardenedBSD,41
192,OSGeo,41
193,Omarine,41
194,OpenELEC,41
195,Rocks Cluster,41
196,DietPi,40
197,APODIO,39
198,BigLinux,39
199,NST,39
200,blackPanther,39
201,BeeFree,38
202,Lunar,38
203,Refracta,38
204,Smoothwall,38
205,ClonOS,37
206,Cucumber,37
207,KXStudio,37
208,Kwort,37
209,PrimTux,37
210,XStreamOS,37
211,Connochaet,36
212,DEFT,36
213,Frugalware,36
214,LinHES,36
215,Linspire,36
216,MirOS,36
217,Pisi,36
218,Toutou,36
219,TurnKey,36
220,Debian Edu,35
221,EasyNAS,35
222,MidnightBSD,35
223,Super Grub2,35
224,Bicom,34
225,KANOTIX,34
226,Plamo,34
227,Rescatux,34
228,Bio-Linux,33
229,GNUstep,33
230,GoboLinux,33
231,Leeenux,33
232,LliureX,33
233,Metamorphose,33
234,Pentoo,33
235,Slackel,33
236,Daphile,32
237,Exherbo,32
238,Minimal,32
239,MorpheusArch,32
240,Stella,32
241,WM Live,32
242,CloudReady,31
243,Sophos,31
244,Vine,31
245,Asianux,30
246,AsteriskNOW,30
247,CAELinux,30
248,RISC,30
249,RebeccaBlackOS,29
250,BSDRP,28
251,BlueOnyx,28
252,Elastix,28
253,OLPC,28
254,RasPlex,28
255,Rebellin,28
256,Source Mage,28
257,T2,28
258,UTUTO,28
259,FuguIta,27
260,Photon,27
261,BitKey,26
262,Canaima,26
263,MAX,26
264,RaspBSD,26
265,Securepoint,26
266,Springdale,26
267,Thinstation,26
268,Vinux,26
269,paldo,26
270,SME Server,25
271,Swift,25
272,TalkingArch,25
273,UHU-Linux,25
274,Grml,24
275,NexentaStor,24
276,PLD,24
277,SMS,24
278,ToOpPy,24
279,Baruwa,23
280,FreePBX,23
281,Openwall,23
282,SELKS,23
283,Ulteo,23
284,Volumio,23
285,PelicanHPC,22
286,SuliX,22
287,Webconverger,22
288,tuxtrans,22
289,DRBL,21
290,OB2D,21
291,Omoikane,21
292,Solaris,21
293,UBports,21
294,Dragora,20
295,Liquid Lemur,14
296,AIO,12
297,SuperGamer,12
298,Namib,10
299,Obarun,10
300,VenenuX,10
301,Hyperbola,6
302,Secure-K,4
303,NomadBSD,0
