position,distribution,hit_ranking
1,Manjaro,4275
2,Mint,2529
3,elementary,1594
4,Ubuntu,1509
5,MX Linux,1415
6,Debian,1157
7,Fedora,850
8,openSUSE,806
9,Solus,803
10,CentOS,591
11,Arch,534
12,Lite,523
13,Antergos,494
14,Zorin,487
15,Kali,459
16,KDE neon,450
17,ReactOS,450
18,Endless,425
19,TrueOS,424
20,PCLinuxOS,407
21,Peppermint,401
22,antiX,401
23,Lubuntu,386
24,SmartOS,353
25,Ubuntu MATE,346
26,Puppy,329
27,deepin,329
28,FreeBSD,324
29,Devuan,309
30,Arco,308
31,Xubuntu,303
32,Pinguy,298
33,Slackware,297
34,ArchLabs,296
35,SparkyLinux,288
36,Bluestar,279
37,Bodhi,271
38,Archman,266
39,Q4OS,260
40,Tails,258
41,Kubuntu,253
42,BunsenLabs,245
43,Mageia,241
44,LXLE,234
45,Pop!_OS,226
46,Ubuntu Kylin,225
47,Scientific,218
48,Android-x86,214
49,Red Hat,213
50,Gecko,212
51,Gentoo,202
52,KaOS,200
53,KNOPPIX,199
54,Alpine,194
55,Ultimate,190
56,Robolinux,186
57,Voyager,185
58,Parrot,184
59,Ubuntu Budgie,184
60,Redcore,178
61,4MLinux,173
62,Emmabuntüs,162
63,Greenie,162
64,Porteus,162
65,Ubuntu Studio,162
66,feren,162
67,BlackArch,161
68,ClearOS,156
69,SwagArch,155
70,DragonFly,153
71,AV Linux,144
72,ArchBang,144
73,Slax,141
74,SolydXK,139
75,Arya,138
76,siduction,138
77,Clonezilla,136
78,Sabayon,136
79,wattOS,134
80,Parabola,133
81,Nitrux,132
82,Trisquel,131
83,AUSTRUMI,130
84,NuTyX,129
85,ROSA,125
86,NixOS,121
87,Netrunner,120
88,OpenBSD,120
89,Neptune,118
90,Tiny Core,118
91,Artix,117
92,GhostBSD,116
93,Linuxfx,116
94,Qubes,115
95,Raspbian,115
96,Container,114
97,SteamOS,114
98,Vector,114
99,Oracle,112
100,BlankOn,110
101,BackBox,109
102,Ubuntu DP,109
103,Absolute,108
104,CRUX,108
105,NetBSD,108
106,GuixSD,105
107,Live Raizo,105
108,Omarine,99
109,Berry,98
110,NethServer,97
111,SUSE,94
112,Calculate,93
113,Void,88
114,Maui,87
115,Runtu,87
116,Stella,87
117,OpenIndiana,86
118,ExTiX,83
119,PureOS,83
120,Black Lab,82
121,FreeNAS,81
122,Untangle,80
123,Kwort,79
124,OSMC,77
125,Enso,76
126,Proxmox,75
127,SliTaz,71
128,TurnKey,71
129,Elive,70
130,ALT,69
131,LibreELEC,68
132,Zeroshell,68
133,OpenMandriva,67
134,NAS4Free,65
135,Porteus Kiosk,65
136,Lakka,64
137,Star,64
138,Plamo,63
139,UBOS,63
140,DuZeru,62
141,Shark,62
142,Chakra,60
143,Haiku,60
144,Pardus,58
145,Peach OSI,58
146,Pisi,58
147,Univention,58
148,GParted,56
149,RancherOS,56
150,Solaris,56
151,Karoshi,55
152,Zenwalk,55
153,Liquid Lemur,54
154,IPFire,52
155,NST,51
156,OPNsense,51
157,AIO,49
158,Salix,49
159,KolibriOS,47
160,Pardus Topluluk,47
161,heads,45
162,ArchStrike,44
163,HardenedBSD,44
164,MakuluLinux,43
165,Namib,43
166,PrimTux,43
167,3CX,42
168,Legacy,42
169,Obarun,42
170,Funtoo,41
171,ToriOS,41
172,pfSense,41
173,Clear,40
174,LFS,40
175,OpenMediaVault,40
176,Pearl,40
177,Wifislax,40
178,MiniNo,39
179,UBports,38
180,BigLinux,37
181,CloudReady,37
182,LinuxConsole,37
183,MINIX,37
184,Smoothwall,37
185,SystemRescue,37
186,Audiophile,36
187,Kodachi,36
188,Linspire,36
189,VyOS,36
190,Lunar,35
191,Parted Magic,35
192,Subgraph,35
193,SuperGamer,35
194,Whonix,35
195,APODIO,34
196,CAINE,34
197,ClonOS,34
198,DietPi,34
199,KXStudio,34
200,blackPanther,34
201,BeeFree,33
202,Fatdog64,33
203,Quirky,33
204,SalentOS,33
205,TENS,33
206,Connochaet,32
207,DEFT,32
208,EasyNAS,32
209,Frugalware,32
210,MidnightBSD,32
211,MirOS,32
212,OpenELEC,32
213,XStreamOS,32
214,Freespire,31
215,Metamorphose,31
216,Toutou,31
217,Bio-Linux,30
218,Daphile,30
219,Debian Edu,30
220,KANOTIX,30
221,Pentoo,30
222,Rockstor,30
223,CAELinux,29
224,Dragora,29
225,Exe,29
226,Exherbo,29
227,GoboLinux,29
228,Leeenux,29
229,MorpheusArch,29
230,Vine,29
231,Zentyal,29
232,Asianux,28
233,Elastix,28
234,Hyperbola,28
235,LuninuX,28
236,Minimal,28
237,RISC,28
238,Slackel,28
239,Sophos,28
240,Super Grub2,28
241,Cucumber,27
242,T2,27
243,AsteriskNOW,26
244,BSDRP,26
245,Endian,26
246,RebeccaBlackOS,26
247,Refracta,26
248,BlueOnyx,25
249,LliureX,25
250,Photon,25
251,Plop,25
252,Source Mage,25
253,Thinstation,25
254,UTUTO,25
255,FuguIta,24
256,MAX,24
257,RaspBSD,24
258,Rebellin,24
259,Rescatux,24
260,Rocks Cluster,24
261,Securepoint,24
262,Springdale,24
263,Uruk,24
264,Vinux,24
265,WM Live,24
266,Zevenet,24
267,paldo,24
268,Canaima,23
269,GNUstep,23
270,OviOS,23
271,RasPlex,23
272,SME Server,23
273,TalkingArch,23
274,FreePBX,22
275,Grml,22
276,LinHES,22
277,NexentaStor,22
278,PLD,22
279,RSS,22
280,Swift,22
281,UHU-Linux,22
282,VenenuX,22
283,Baruwa,21
284,Bicom,21
285,BitKey,21
286,OLPC,21
287,Openwall,21
288,SELKS,21
289,SMS,21
290,ToOpPy,21
291,Ulteo,21
292,Volumio,21
293,OSGeo,20
294,Omoikane,20
295,PelicanHPC,20
296,RDS,20
297,SuliX,20
298,Webconverger,20
299,DRBL,19
300,OB2D,19
301,Secure-K,19
302,tuxtrans,19
303,NomadBSD,9
