position,distribution,hit_ranking
1,Manjaro,3779
2,Mint,2754
3,Ubuntu,1686
4,elementary,1407
5,Debian,1379
6,MX Linux,1129
7,Solus,1099
8,Fedora,922
9,openSUSE,799
10,Antergos,738
11,TrueOS,687
12,Zorin,603
13,Arch,593
14,CentOS,591
15,Kali,546
16,antiX,525
17,Lite,510
18,ReactOS,485
19,KDE neon,447
20,PCLinuxOS,438
21,Endless,433
22,Lubuntu,411
23,Peppermint,390
24,Puppy,384
25,Ubuntu MATE,364
26,SmartOS,351
27,deepin,350
28,Slackware,315
29,Tails,315
30,SparkyLinux,311
31,Xubuntu,310
32,FreeBSD,301
33,Devuan,299
34,ArchLabs,298
35,Mageia,286
36,Q4OS,275
37,Redcore,270
38,Bluestar,266
39,Android-x86,252
40,Bodhi,251
41,Parrot,248
42,LXLE,246
43,Kubuntu,242
44,Gentoo,235
45,Red Hat,235
46,Archman,234
47,Gecko,231
48,KaOS,229
49,Voyager,225
50,Robolinux,208
51,Ubuntu Budgie,206
52,Sabayon,205
53,feren,204
54,KNOPPIX,202
55,Qubes,202
56,Netrunner,201
57,4MLinux,194
58,Pop!_OS,188
59,Slax,182
60,NixOS,181
61,Absolute,178
62,SwagArch,177
63,DragonFly,175
64,Trisquel,175
65,Alpine,174
66,Porteus,173
67,ArchBang,172
68,Ubuntu Studio,170
69,ClearOS,169
70,siduction,167
71,Emmabuntüs,163
72,SolydXK,158
73,Pinguy,155
74,Nitrux,154
75,Calculate,153
76,BlackArch,152
77,BunsenLabs,152
78,wattOS,149
79,Container,148
80,Ultimate,148
81,OpenBSD,147
82,Arco,145
83,NuTyX,145
84,Raspbian,142
85,ROSA,140
86,Tiny Core,140
87,Clonezilla,139
88,Artix,137
89,SteamOS,133
90,Scientific,130
91,AV Linux,129
92,LibreELEC,128
93,Ubuntu DP,128
94,AUSTRUMI,127
95,GhostBSD,127
96,BackBox,126
97,Black Lab,126
98,Oracle,126
99,Parabola,126
100,Vector,126
101,Maui,117
102,Neptune,116
103,OSMC,116
104,Elive,113
105,Ubuntu Kylin,107
106,ExTiX,106
107,Live Raizo,103
108,Lakka,100
109,Void,98
110,Chakra,96
111,Greenie,94
112,PureOS,94
