position,distribution,hit_ranking
1,Manjaro,4056
2,Mint,2631
3,elementary,1577
4,MX Linux,1351
5,Ubuntu,1159
6,Debian,1010
7,openSUSE,686
8,Fedora,682
9,Solus,674
10,Peppermint,558
11,CentOS,544
12,Arch,504
13,deepin,470
14,Zorin,463
15,PCLinuxOS,454
16,KDE neon,453
17,Devuan,426
18,Antergos,419
19,Gecko,417
20,FreeBSD,403
21,Kali,393
22,Lite,386
23,antiX,374
24,TrueOS,369
25,SmartOS,342
26,ReactOS,340
27,Alpine,319
28,Endless,314
29,Tails,313
30,Lubuntu,309
31,KaOS,293
32,Puppy,292
33,Ubuntu Kylin,277
34,Red Hat,274
35,Pinguy,269
36,Slackware,269
37,SparkyLinux,265
38,Ubuntu MATE,263
39,Archman,258
40,Q4OS,257
41,Bodhi,242
42,Redcore,234
43,Xubuntu,225
44,AV Linux,223
45,Ultimate,222
46,Android-x86,221
47,ArchLabs,220
48,Mageia,220
49,Parabola,217
50,4MLinux,216
51,Bluestar,203
52,Kubuntu,200
53,Gentoo,196
54,Arya,190
55,SolydXK,187
56,Untangle,187
57,DragonFly,174
58,Parrot,169
59,Enso,167
60,LXLE,167
61,Arco,166
62,Robolinux,165
63,Pop!_OS,163
64,Berry,160
65,ClearOS,159
66,KNOPPIX,154
67,ArchBang,152
68,Raspbian,152
69,Porteus Kiosk,146
70,BlackArch,143
71,Plamo,143
72,NethServer,138
73,SwagArch,138
74,Nitrux,135
75,Clonezilla,133
76,Container,133
77,Univention,133
78,BunsenLabs,132
79,Sabayon,128
80,wattOS,128
81,Star,123
82,Ubuntu Budgie,123
83,OpenBSD,119
84,Voyager,119
85,feren,119
86,NixOS,118
87,Neptune,116
88,Tiny Core,115
89,Ubuntu Studio,114
90,Artix,112
91,ROSA,112
92,SteamOS,112
93,Vector,112
94,GhostBSD,111
95,Slax,110
96,Scientific,108
97,Shark,108
98,siduction,108
99,Qubes,107
100,Trisquel,107
101,Netrunner,106
102,Absolute,105
103,BackBox,104
104,Ubuntu DP,102
105,Porteus,99
106,DuZeru,96
107,Omarine,94
108,Oracle,94
109,OSMC,92
110,NetBSD,91
111,Pardus,90
112,Calculate,89
113,Emmabuntüs,88
114,Maui,88
115,AUSTRUMI,80
116,NST,79
117,Black Lab,78
118,Solaris,78
119,Void,78
120,PureOS,77
121,Zeroshell,74
122,ALT,68
123,SliTaz,68
124,GuixSD,67
125,Haiku,65
126,LibreELEC,65
127,Elive,64
128,NuTyX,57
129,Peach OSI,56
130,Chakra,54
131,SUSE,54
132,Salix,51
133,Zenwalk,47
134,ChaletOS,45
135,Clear,45
136,CloudReady,44
137,ExTiX,44
138,FreeNAS,44
139,KolibriOS,44
140,OpenMandriva,44
141,LFS,43
142,Lakka,43
143,heads,42
144,pfSense,42
145,GParted,41
146,OpenMediaVault,41
147,VyOS,41
148,3CX,40
149,ArchStrike,40
150,CRUX,40
151,Legacy,40
152,MakuluLinux,40
153,Point,40
154,Funtoo,39
155,Live Raizo,39
156,NAS4Free,39
157,ToriOS,39
158,Obarun,38
159,Pearl,38
160,MiniNo,37
161,Namib,37
162,OPNsense,37
163,SystemRescue,37
164,Wifislax,37
165,LinuxConsole,36
166,MINIX,36
167,OpenIndiana,36
168,BigLinux,35
169,Hyperbola,35
170,Linspire,35
171,LinuxBBQ,35
172,Runtu,35
173,IPFire,34
174,Kodachi,34
175,UBports,34
176,APODIO,33
177,Audiophile,33
178,Lunar,33
179,Parted Magic,33
180,Subgraph,33
181,SuperGamer,33
182,Whonix,33
183,blackPanther,33
184,AIO,32
185,CAINE,32
186,ClonOS,32
187,DietPi,32
188,KXStudio,32
189,MidnightBSD,32
190,BeeFree,31
191,Connochaet,31
192,Frugalware,31
193,MirOS,31
194,Quirky,31
195,SalentOS,31
196,TENS,31
197,DEFT,30
198,EasyNAS,30
199,Fatdog64,30
200,Freespire,30
201,HardenedBSD,30
202,OpenELEC,30
203,Rockstor,30
204,Toutou,30
205,XStreamOS,30
206,Debian Edu,29
207,KANOTIX,29
208,Metamorphose,29
209,RancherOS,29
210,UBOS,29
211,Bio-Linux,28
212,Daphile,28
213,Leeenux,28
214,Linuxfx,28
215,Stella,28
216,CAELinux,27
217,Cucumber,27
218,Dragora,27
219,Elastix,27
220,Exe,27
221,Exherbo,27
222,GoboLinux,27
223,LuninuX,27
224,Mangaka,27
225,Minimal,27
226,MorpheusArch,27
227,Sophos,27
228,Vine,27
229,Zentyal,27
230,gNewSense,27
231,BlankOn,26
232,Edubuntu,26
233,Pentoo,26
234,RISC,26
235,Slackel,26
236,T2,26
237,Asianux,25
238,AsteriskNOW,25
239,BSDRP,25
240,Plop,25
241,Proxmox,25
242,RebeccaBlackOS,25
243,Refracta,25
244,AbulÉdu,24
245,BlueOnyx,24
246,Endian,24
247,Pisi,24
248,Source Mage,24
249,Thinstation,24
250,UTUTO,24
251,paldo,24
252,FuguIta,23
253,Greenie,23
254,LliureX,23
255,MAX,23
256,Photon,23
257,Rebellin,23
258,SME Server,23
259,Springdale,23
260,WM Live,23
261,Zevenet,23
262,GNUstep,22
263,Karoshi,22
264,Liquid Lemur,22
265,OviOS,22
266,RSS,22
267,RasPlex,22
268,RaspBSD,22
269,Rescatux,22
270,Rocks Cluster,22
271,Securepoint,22
272,Smoothwall,22
273,Super Grub2,22
274,TurnKey,22
275,UHU-Linux,22
276,Uruk,22
277,Vinux,22
278,Baruwa,21
279,Canaima,21
280,FreePBX,21
281,OLPC,21
282,PLD,21
283,Swecha,21
284,Swift,21
285,Ulteo,21
286,VenenuX,21
287,Webconverger,21
288,Grml,20
289,Kwort,20
290,LinHES,20
291,NexentaStor,20
292,Pardus Topluluk,20
293,PelicanHPC,20
294,SELKS,20
295,TalkingArch,20
296,ToOpPy,20
297,Bicom,19
298,BitKey,19
299,Keysoft,19
300,OSGeo,19
301,Omoikane,19
302,Openwall,19
303,PrimTux,19
304,RDS,19
305,SMS,19
306,SuliX,19
307,Volumio,19
308,OB2D,18
309,tuxtrans,18
310,DRBL,17
311,Secure-K,1
